"game" "home" "level"
1 2 2
2 1 2
3 2 1
4 1 1
5 2 1
6 2 2
7 1 1
8 1 1
9 1 2
10 2 2
11 1 2
12 2 2
13 2 2
14 2 2
15 2 2
16 2 2
17 1 2
18 1 1
19 2 1
20 2 2
21 1 1
22 2 1
23 2 1
24 2 2
25 1 2
26 1 2
27 2 2
28 2 1
29 1 2
30 1 2
31 1 1
32 1 2
33 1 2
34 1 1
35 2 2
36 1 2
37 2 2
38 2 1
39 1 2
40 1 1
41 1 2
42 1 1
43 1 1
44 2 2
45 1 2
46 2 2
47 1 1
48 2 1
49 2 2
50 2 2
51 2 2
52 1 1
53 2 2
54 2 1
55 2 1
56 2 1
57 2 1
58 2 1
59 1 1
60 1 1
61 1 1
62 2 2
63 1 2
64 2 2
65 1 2
66 1 2
67 1 1
68 1 1
69 1 2
70 1 1
71 2 1
72 2 2
73 2 1
74 2 1
75 1 2
76 2 1
77 2 1
78 2 1
79 1 1
80 1 2
81 1 2
82 1 2
