"Game" "Missmade" "Xdist" "Ydist" "Dist" "shot"
"1" "0" "-78" "34" "6.2" "Jump Shot"
"1" "1" "-18" "246" "25.4" "Jump Shot"
"1" "1" "225" "99" "25" "Jump Shot"
"1" "0" "37" "247" "24.9" "Jump Shot"
"1" "0" "-4" "102" "11.4" "Jump Shot"
"1" "0" "65" "246" "24.2" "Jump Shot"
"1" "0" "-164" "187" "27.8" "Jump Shot"
"1" "0" "-229" "26" "23.3" "Jump Shot"
"1" "0" "209" "126" "25.6" "Jump Shot"
"1" "0" "-54" "246" "27.4" "Jump Shot"
"1" "0" "-164" "200" "23.4" "Jump Shot"
"1" "1" "-81" "72" "10.9" "Running Jump Shot"
"2" "1" "0" "37" "7.8" "Floating Jump shot"
"2" "1" "-37" "108" "11.9" "Floating Jump shot"
"2" "0" "62" "37" "12.5" "Jump Shot"
"2" "1" "-123" "230" "24.1" "Jump Shot"
"2" "1" "-123" "230" "25.3" "Jump Shot"
"2" "0" "-23" "36" "7.1" "Jump Shot"
"2" "0" "91" "252" "24.6" "Jump Shot"
"2" "0" "-76" "257" "25.8" "Jump Shot"
"2" "1" "-138" "132" "22.7" "Pullup Jump shot"
"2" "0" "144" "228" "24.6" "Pullup Jump shot"
"2" "0" "0" "254" "24.2" "Step Back Jump shot"
"2" "0" "177" "173" "24.5" "Step Back Jump shot"
"2" "1" "159" "224" "25.6" "Step Back Jump shot"
"2" "1" "-153" "108" "19" "Turnaround Bank shot"
"2" "1" "48" "45" "8.2" "Turnaround Bank shot"
"2" "1" "121" "14" "11.1" "Turnaround Fadeaway shot"
"2" "0" "140" "26" "13.9" "Turnaround Jump Shot"
"3" "0" "157" "93" "17.1" "Jump Bank Shot"
"3" "0" "124" "235" "27.5" "Jump Shot"
"3" "0" "-232" "6" "22.6" "Jump Shot"
"3" "0" "-109" "220" "24.3" "Jump Shot"
"3" "0" "-82" "179" "21" "Jump Shot"
"3" "0" "-103" "173" "20.2" "Jump Shot"
"3" "0" "-109" "219" "25.8" "Jump Shot"
"3" "1" "-16" "211" "19.3" "Pullup Jump shot"
"3" "1" "21" "148" "16.1" "Pullup Jump shot"
"3" "0" "-194" "41" "21.7" "Pullup Jump shot"
"3" "1" "-51" "242" "24.6" "Pullup Jump shot"
"3" "1" "83" "192" "22.4" "Pullup Jump shot"
"3" "0" "48" "1" "5.7" "Running Jump Shot"
"3" "1" "-142" "121" "18.8" "Running Jump Shot"
"3" "0" "190" "83" "20.9" "Turnaround Jump Shot"
"4" "0" "-4" "34" "4.5" "Driving Jump shot"
"4" "1" "122" "104" "13.1" "Floating Jump shot"
"4" "0" "89" "131" "11.6" "Floating Jump shot"
"4" "0" "13" "67" "11.6" "Floating Jump shot"
"4" "1" "-199" "148" "23.4" "Jump Shot"
"4" "1" "-95" "151" "20" "Jump Shot"
"4" "0" "192" "197" "25.5" "Jump Shot"
"4" "0" "226" "9" "22.8" "Jump Shot"
"4" "0" "-101" "146" "20.2" "Jump Shot"
"4" "0" "59" "241" "24.3" "Jump Shot"
"4" "0" "-19" "33" "6.6" "Jump Shot"
"4" "1" "-231" "74" "22.6" "Pullup Jump shot"
"4" "1" "165" "220" "24.6" "Step Back Jump shot"
"4" "1" "176" "34" "18.8" "Step Back Jump shot"
"4" "0" "31" "258" "26.2" "Step Back Jump shot"
"4" "1" "166" "203" "22.7" "Step Back Jump shot"
"5" "1" "146" "170" "20.4" "Jump Shot"
"5" "1" "-155" "189" "25" "Jump Shot"
"5" "1" "226" "42" "22.4" "Jump Shot"
"5" "1" "122" "211" "24.6" "Jump Shot"
"5" "1" "236" "91" "24" "Jump Shot"
"5" "0" "-131" "205" "25" "Jump Shot"
"5" "0" "100" "225" "25.7" "Jump Shot"
"5" "0" "10" "195" "21.2" "Jump Shot"
"5" "1" "-87" "58" "12" "Pullup Bank shot"
"5" "1" "-8" "255" "25.8" "Pullup Jump shot"
"5" "1" "0" "252" "25.4" "Step Back Jump shot"
"5" "0" "105" "246" "27.3" "Step Back Jump shot"
"5" "0" "-127" "53" "16.7" "Turnaround Bank shot"
"6" "1" "29" "12" "3.3" "Driving Jump shot"
"6" "1" "21" "272" "28" "Jump Shot"
"6" "1" "233" "-10" "23.3" "Jump Shot"
"6" "1" "-231" "22" "22.4" "Jump Shot"
"6" "1" "-84" "230" "24.7" "Jump Shot"
"6" "0" "6" "251" "24.4" "Jump Shot"
"6" "0" "42" "242" "25" "Jump Shot"
"6" "0" "-101" "189" "21.9" "Jump Shot"
"6" "0" "-128" "217" "25.3" "Jump Shot"
"6" "0" "54" "241" "24.7" "Jump Shot"
