"Game" "Missmade" "Xdist" "Ydist" "Dist" "shot"
"1" "0" "-105" "63" "8.7" "Fadeaway Jump Shot"
"1" "0" "-103" "42" "10.5" "Floating Jump shot"
"1" "0" "70" "58" "9.8" "Jump Bank Shot"
"1" "1" "26" "249" "25.5" "Jump Shot"
"1" "0" "-127" "230" "27.5" "Jump Shot"
"1" "0" "122" "235" "27.1" "Jump Shot"
"1" "0" "227" "-16" "21.1" "Jump Shot"
"1" "0" "91" "246" "24.7" "Jump Shot"
"1" "0" "114" "148" "21.8" "Jump Shot"
"1" "0" "135" "22" "11.7" "Turnaround Jump Shot"
"2" "0" "-146" "-11" "13.2" "Fadeaway Jump Shot"
"2" "1" "56" "186" "17.7" "Jump Shot"
"2" "1" "-2" "216" "21.7" "Jump Shot"
"2" "1" "50" "15" "11" "Jump Shot"
"2" "0" "95" "36" "9.9" "Jump Shot"
"2" "1" "-116" "12" "9.1" "Jump Shot"
"2" "1" "-235" "14" "23.5" "Jump Shot"
"2" "0" "26" "53" "7.1" "Jump Shot"
"2" "1" "-190" "52" "22.3" "Jump Shot"
"2" "0" "-188" "187" "23.3" "Jump Shot"
"2" "0" "-15" "216" "20.8" "Jump Shot"
"2" "0" "-142" "83" "17.6" "Jump Shot"
"2" "0" "114" "142" "19.9" "Jump Shot"
"2" "0" "-106" "233" "24.2" "Jump Shot"
"2" "0" "-90" "115" "15.3" "Jump Shot"
"2" "0" "-164" "4" "17.6" "Jump Shot"
"2" "1" "-117" "23" "11.2" "Running Bank shot"
"3" "1" "147" "192" "24.5" "Jump Shot"
"3" "1" "97" "272" "30.5" "Jump Shot"
"3" "0" "182" "164" "24.1" "Jump Shot"
"3" "0" "-92" "230" "25.1" "Jump Shot"
"3" "0" "-57" "11" "8.7" "Running Jump Shot"
"3" "0" "-70" "112" "11" "Running Jump Shot"
"3" "0" "-82" "26" "9.3" "Turnaround Fadeaway shot"
"3" "1" "-89" "19" "12.2" "Turnaround Fadeaway shot"
"4" "0" "4" "69" "5.7" "Jump Hook Shot"
"4" "1" "-116" "214" "25.6" "Jump Shot"
"4" "1" "166" "181" "24.4" "Jump Shot"
"4" "1" "-87" "146" "18.8" "Jump Shot"
"4" "1" "-232" "-13" "23.5" "Jump Shot"
"4" "0" "61" "239" "26.2" "Jump Shot"
"4" "0" "-32" "15" "3.6" "Jump Shot"
"4" "0" "-35" "15" "5.4" "Jump Shot"
"4" "0" "-205" "157" "26.2" "Jump Shot"
"4" "0" "-190" "45" "20.2" "Jump Shot"
"4" "1" "-26" "96" "8.9" "Running Jump Shot"
"4" "0" "-49" "44" "10.2" "Running Jump Shot"
"4" "1" "-2" "36" "2.8" "Running Jump Shot"
"5" "0" "-183" "94" "21" "Jump Shot"
"5" "1" "-202" "140" "25.2" "Jump Shot"
"5" "1" "-158" "45" "19.6" "Jump Shot"
"5" "0" "-205" "153" "24.8" "Jump Shot"
"5" "0" "-153" "142" "22" "Jump Shot"
"5" "0" "-120" "227" "28" "Jump Shot"
"5" "0" "-38" "170" "18.6" "Jump Shot"
"5" "0" "241" "0" "23" "Jump Shot"
"5" "0" "-190" "153" "24.5" "Jump Shot"
"5" "1" "-48" "34" "8" "Running Bank shot"
"5" "1" "42" "7" "6.4" "Turnaround Bank shot"
"5" "0" "-153" "44" "16.7" "Turnaround Fadeaway shot"
"5" "0" "10" "93" "11.4" "Turnaround Jump Shot"
"6" "0" "-13" "28" "4.2" "Jump Shot"
"6" "1" "147" "201" "25.4" "Jump Shot"
"6" "1" "-98" "127" "16.1" "Jump Shot"
"6" "0" "-125" "222" "25.3" "Jump Shot"
"6" "0" "141" "162" "23.4" "Jump Shot"
"6" "0" "220" "140" "25.1" "Jump Shot"
"6" "1" "-92" "30" "6.7" "Running Bank shot"
"6" "1" "69" "45" "9.1" "Running Jump Shot"
"6" "0" "111" "146" "18.6" "Turnaround Jump Shot"
"7" "1" "-157" "184" "26.1" "Jump Shot"
"7" "1" "4" "48" "7.3" "Jump Shot"
"7" "1" "29" "173" "18.6" "Jump Shot"
"7" "1" "26" "246" "25.1" "Jump Shot"
"7" "1" "-161" "190" "24.7" "Jump Shot"
"7" "1" "-71" "9" "5.5" "Jump Shot"
"7" "0" "-209" "0" "22.1" "Jump Shot"
"7" "0" "110" "224" "25.2" "Jump Shot"
"7" "0" "-37" "26" "7" "Jump Shot"
"7" "0" "-215" "146" "26.5" "Jump Shot"
"7" "0" "-119" "83" "15.9" "Jump Shot"
"7" "0" "97" "246" "27.7" "Jump Shot"
"7" "0" "-105" "217" "29.8" "Jump Shot"
"7" "0" "234" "22" "23.6" "Jump Shot"
"7" "1" "-32" "41" "7.1" "Running Jump Shot"
"7" "1" "-5" "113" "12.8" "Turnaround Fadeaway shot"
"7" "1" "62" "55" "9.3" "Turnaround Jump Shot"
"8" "1" "133" "205" "25.2" "Jump Shot"
"8" "1" "143" "239" "26.1" "Jump Shot"
"8" "1" "-226" "105" "24.1" "Jump Shot"
"8" "1" "-130" "209" "25" "Jump Shot"
"8" "1" "-183" "50" "18.3" "Jump Shot"
"8" "1" "162" "99" "20.4" "Jump Shot"
"8" "0" "-45" "72" "9.7" "Jump Shot"
"8" "0" "136" "108" "19" "Jump Shot"
"8" "0" "-193" "170" "28.8" "Jump Shot"
"8" "0" "-76" "25" "5.5" "Jump Shot"
"8" "1" "6" "6" "1.8" "Tip Shot"
"9" "1" "4" "260" "25.4" "Jump Shot"
"9" "0" "-147" "203" "25.2" "Jump Shot"
"9" "0" "122" "45" "18.9" "Jump Shot"
"9" "0" "140" "222" "25.1" "Jump Shot"
"9" "0" "-131" "209" "25.1" "Jump Shot"
"9" "1" "83" "41" "7.2" "Running Bank shot"
"9" "0" "42" "37" "5.9" "Running Jump Shot"
"9" "0" "-40" "42" "8.8" "Running Jump Shot"
"9" "0" "-51" "173" "20" "Step Back Jump shot"
"9" "0" "-139" "37" "18.4" "Step Back Jump shot"
"9" "1" "119" "118" "20.2" "Step Back Jump shot"
"10" "1" "64" "250" "25" "Jump Shot"
"10" "1" "144" "209" "25.2" "Jump Shot"
"10" "0" "129" "67" "21.6" "Jump Shot"
"10" "0" "-130" "219" "25" "Jump Shot"
"10" "0" "-114" "41" "9.6" "Jump Shot"
