"game" "home" "level"
1 1 2
2 2 1
3 2 1
4 2 2
5 2 2
6 1 1
7 2 1
8 1 1
9 1 2
10 1 1
11 2 1
12 1 1
13 1 2
14 1 1
15 1 2
16 1 1
17 2 2
18 2 1
19 2 1
20 1 1
21 2 2
22 2 1
23 1 2
24 1 1
25 1 1
26 1 2
27 1 2
28 2 2
29 2 2
30 1 2
31 2 1
32 1 1
33 2 2
34 1 1
35 2 2
36 1 1
37 2 2
38 2 2
39 2 2
40 2 2
41 2 1
42 1 1
43 1 2
44 1 2
45 1 2
46 2 2
47 1 1
48 1 2
49 2 2
50 1 2
51 1 1
52 2 2
53 1 2
54 1 2
55 2 1
56 2 1
57 2 2
58 2 2
59 1 2
60 2 2
61 2 1
62 1 1
63 2 1
64 2 1
65 1 2
66 2 1
67 2 1
68 2 2
69 2 2
70 1 1
71 1 2
72 2 1
73 2 2
74 2 1
75 1 2
76 1 2
77 1 1
78 2 1
79 1 1
80 2 1
81 1 2
82 1 1
