"game" "home" "level"
"1" "2" "2"
"2" "2" "2"
"3" "1" "1"
"4" "2" "1"
"5" "2" "1"
"6" "1" "2"
"7" "1" "1"
"8" "1" "2"
"9" "1" "1"
"10" "1" "1"
"11" "2" "1"
"12" "1" "1"
"13" "2" "2"
"14" "2" "1"
"15" "2" "2"
"16" "1" "1"
"17" "2" "1"
"18" "2" "2"
"19" "2" "1"
"20" "2" "2"
"21" "1" "2"
"22" "1" "2"
"23" "2" "1"
"24" "1" "2"
"25" "2" "1"
"26" "2" "2"
"27" "2" "1"
"28" "2" "1"
"29" "1" "1"
"30" "1" "1"
"31" "1" "2"
"32" "1" "2"
"33" "2" "2"
"34" "1" "1"
"35" "1" "1"
"36" "2" "1"
"37" "2" "2"
"38" "2" "1"
"39" "1" "1"
"40" "1" "2"
"41" "1" "2"
"42" "1" "1"
"43" "2" "2"
"44" "1" "2"
"45" "1" "1"
"46" "1" "1"
"47" "1" "1"
"48" "2" "2"
"49" "2" "1"
"50" "2" "2"
"51" "1" "2"
"52" "2" "1"
"53" "1" "1"
"54" "1" "2"
"55" "2" "2"
"56" "1" "1"
"57" "2" "2"
"58" "1" "1"
"59" "1" "2"
"60" "1" "1"
"61" "2" "1"
"62" "2" "1"
"63" "1" "1"
"64" "2" "2"
"65" "2" "1"
"66" "2" "1"
"67" "2" "2"
"68" "2" "2"
"69" "2" "1"
"70" "2" "1"
"71" "1" "2"
"72" "1" "2"
"73" "1" "1"
"74" "1" "2"
"75" "2" "2"
"76" "2" "1"
"77" "1" "2"
"78" "2" "1"
"79" "1" "1"
"80" "2" "1"
"81" "1" "1"
"82" "1" "2"
