Game Shots Missmade Xdist Ydist Dist Quarter
1 1 0 24 186 24 4
1 2 1 98 154 19 4
1 3 1 134 82 14 2
1 4 0 132 122 14 1
1 5 0 193 158 13 4
1 6 0 204 181 14 1
1 7 0 224 256 18 2
1 8 0 278 72 0 1
1 9 1 278 72 0 1
1 10 0 285 75 0 3
1 11 1 314 75 0 1
1 12 0 300 158 7 4
1 13 0 285 280 19 4
1 14 0 368 114 6 2
1 15 1 420 156 13 4
1 16 1 446 203 16 2
1 17 0 468 253 20 3
1 18 1 497 249 21 1
1 19 0 518 228 21 1
1 20 0 522 256 24 3
1 21 0 534 257 25 1
10 1 1 18 194 25 4
10 2 1 58 177 21 4
10 3 0 73 135 18 2
10 4 1 87 194 20 2
10 5 0 103 54 16 1
10 6 1 118 126 15 1
10 7 1 182 179 15 3
10 8 1 187 125 11 2
10 9 0 208 210 14 1
10 10 1 252 96 4 2
10 11 1 254 293 21 2
10 12 1 286 294 20 1
10 13 1 288 64 0 4
10 14 0 291 70 0 2
10 15 1 298 72 0 2
10 16 1 306 72 0 1
10 17 0 313 68 0 2
10 18 0 304 275 18 1
10 19 0 322 204 12 1
10 20 0 427 351 26 4
10 21 0 445 106 15 4
10 22 1 468 164 17 3
10 23 0 520 160 19 2
11 1 0 100 135 18 2
11 2 0 132 140 16 3
11 3 0 143 110 12 2
11 4 0 189 207 16 3
11 5 0 238 178 10 3
11 6 0 247 195 12 1
11 7 0 232 246 16 1
11 8 0 275 301 20 3
11 9 1 290 70 0 3
11 10 0 292 72 0 2
11 11 1 293 73 0 2
11 12 1 297 76 0 4
11 13 1 299 76 0 4
11 14 1 301 75 0 3
11 15 1 303 74 0 2
11 16 1 306 73 0 4
11 17 1 309 71 0 3
11 18 0 325 210 12 2
11 19 0 345 190 10 3
11 20 0 375 178 11 4
11 21 0 386 252 18 4
11 22 0 388 345 25 4
11 23 0 398 124 9 1
11 24 0 463 173 16 1
11 25 0 484 115 15 1
11 26 0 531 146 19 3
12 1 0 49 52 19 4
12 2 1 90 137 18 4
12 3 0 108 56 16 5
12 4 0 148 100 12 2
12 5 0 163 205 16 1
12 6 0 183 181 15 4
12 7 0 181 163 14 4
12 8 0 210 87 7 4
12 9 0 234 79 5 1
12 10 0 248 74 4 2
12 11 1 264 277 18 2
12 12 0 268 155 7 4
12 13 0 281 116 5 1
12 14 0 480 216 20 3
12 15 0 582 183 25 1
12 16 0 286 69 0 5
12 17 1 288 71 0 2
12 18 1 290 74 0 3
12 19 0 294 75 0 1
12 20 1 297 77 0 3
12 21 0 303 74 0 2
12 22 0 306 74 0 3
12 23 1 309 72 0 2
12 24 1 312 70 0 1
13 1 0 117 64 16 1
13 2 0 114 82 16 2
13 3 0 111 105 16 1
13 4 1 121 120 15 1
13 5 0 143 69 14 4
13 6 1 144 108 14 3
13 7 0 156 84 13 2
13 8 0 154 99 13 2
13 9 0 206 108 10 1
13 10 1 210 199 13 4
13 11 0 208 255 18 3
13 12 1 222 220 14 3
13 13 1 254 88 5 2
13 14 0 321 285 18 2
13 15 0 384 231 16 3
13 16 1 410 217 15 2
13 17 0 421 120 12 4
13 18 0 539 118 19 2
13 19 0 286 70 0 4
13 20 1 289 73 0 3
13 21 1 296 76 0 2
13 22 0 299 75 0 1
13 23 1 304 74 0 2
13 24 0 309 72 0 3
14 1 0 66 178 21 4
14 2 0 77 112 18 4
14 3 0 84 206 21 3
14 4 0 106 134 16 3
14 5 0 105 136 16 4
14 6 0 106 167 17 3
14 7 0 170 347 26 2
14 8 0 182 234 18 2
14 9 1 189 234 17 2
14 10 0 228 294 20 1
14 11 1 306 243 15 2
14 12 1 326 231 14 3
14 13 0 335 180 10 4
14 14 0 359 118 6 1
14 15 0 391 174 12 1
14 16 1 402 139 10 1
14 17 1 398 233 16 2
14 18 0 431 202 16 1
14 19 0 482 149 16 2
14 20 0 493 198 19 3
14 21 0 497 98 16 4
14 22 1 287 70 0 4
14 23 1 290 72 0 2
14 24 1 294 73 0 1
14 25 1 299 75 0 3
14 26 1 306 74 0 2
14 27 1 310 72 0 4
15 1 1 76 75 19 4
15 2 1 76 98 19 1
15 3 0 116 310 24 3
15 4 0 155 86 14 4
15 5 1 163 200 17 4
15 6 1 163 232 20 4
15 7 0 183 219 17 4
15 8 0 190 233 18 1
15 9 0 191 234 18 1
15 10 0 222 215 14 3
15 11 0 222 230 16 3
15 12 1 243 262 17 1
15 13 1 244 260 17 2
15 14 0 398 240 17 4
15 15 1 418 165 12 4
15 16 1 419 234 17 1
15 17 1 416 238 18 1
15 18 0 419 238 18 2
15 19 0 442 92 12 2
15 20 1 306 72 0 1
16 1 1 50 46 20 3
16 2 0 82 68 18 3
16 3 1 146 50 14 2
16 4 0 158 63 13 4
16 5 0 215 119 8 3
16 6 0 210 152 11 2
16 7 0 230 146 9 3
16 8 0 234 238 16 4
16 9 0 244 242 16 4
16 10 0 265 100 4 4
16 11 0 265 283 18 3
16 12 0 301 98 3 3
16 13 1 302 270 17 2
16 14 1 396 126 11 2
16 15 0 372 222 15 2
16 16 0 372 228 15 3
16 17 0 492 60 16 1
16 18 1 288 72 0 1
16 19 1 312 72 0 3
18 1 0 110 183 19 2
18 2 1 132 129 16 1
18 3 1 152 188 17 4
18 4 0 158 242 21 3
18 5 0 228 231 16 4
18 6 1 237 101 6 3
18 7 0 327 286 17 1
